Id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
1,E1,S1,935159.132,1089638.773,4.009433331,-76.27033333,20,6,0.3
2,E2,S6,935162.82,1089640.62,4.009466663,-76.27031667,11,3,0.27273
3,E3,S12,935168.354,1089644.317,4.00951667,-76.27028333,25,7,0.28
4,E4,S18,935173.885,1089646.162,4.009566667,-76.27026667,12,5,0.41667
5,E5,S24,935179.416,1089648.008,4.009616664,-76.27025,26,7,0.26923
6,E6,S30,935186.791,1089649.852,4.009683335,-76.27023333,12,9,0.75
7,E7,S36,935192.324,1089653.548,4.009733333,-76.2702,17,3,0.17647
8,E8,S42,935197.855,1089655.394,4.00978333,-76.27018333,17,13,0.76471
9,E9,S48,935203.39,1089660.941,4.00983333,-76.27013333,15,12,0.8
10,E10,S54,935208.923,1089664.638,4.009883328,-76.2701,18,9,0.5
11,E11,S60,935214.451,1089662.781,4.009933331,-76.27011667,13,4,0.30769
12,E12,S66,935219.983,1089664.627,4.009983337,-76.2701,24,15,0.625
13,E1,S1,935163.0424,1089629.569,4.009468773,-76.27041617,11,3,0.27273
14,E2,S6,935166.7304,1089631.416,4.009502104,-76.27039951,8,1,0.125
15,E3,S12,935172.2644,1089635.113,4.009552112,-76.27036617,19,6,0.31579
16,E4,S18,935177.7954,1089636.958,4.009602108,-76.27034951,15,5,0.33333
17,E5,S24,935183.3264,1089638.804,4.009652105,-76.27033284,16,2,0.125
18,E6,S30,935190.7014,1089640.648,4.009718776,-76.27031617,18,8,0.44444
19,E7,S36,935196.2344,1089644.344,4.009768774,-76.27028284,12,2,0.16667
20,E8,S42,935201.7654,1089646.19,4.009818771,-76.27026617,18,13,0.72222
21,E9,S48,935207.3004,1089651.737,4.009868771,-76.27021617,15,9,0.6
22,E10,S54,935212.8334,1089655.434,4.00991877,-76.27018284,18,5,0.27778
23,E11,S60,935218.3614,1089653.577,4.009968772,-76.27019951,10,2,0.2
24,E12,S66,935223.8934,1089655.423,4.010018778,-76.27018284,25,5,0.2
25,E1,S1,935166.9528,1089620.366,4.009504214,-76.270499,13,4,0.30769
26,E2,S6,935170.6408,1089622.213,4.009537545,-76.27048234,12,3,0.25
27,E3,S12,935176.1748,1089625.91,4.009587553,-76.270449,19,3,0.15789
28,E4,S18,935181.7058,1089627.755,4.00963755,-76.27043234,13,2,0.15385
29,E5,S24,935187.2368,1089629.601,4.009687546,-76.27041567,20,6,0.3
