id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
1,E1,S1-1,1014841.005,1123347.57,4.729516667,-75.96576667,18,5,0.27778
2,E2,S7-14,1014839.173,1123354.971,4.729499996,-75.9657,10,2,0.2
3,E3,S14-1,1014831.818,1123366.079,4.729433336,-75.9656,16,0,0
4,E4,S21-1,1014824.456,1123373.489,4.729366667,-75.96553333,18,2,0.11111
5,E5,S28-1,1014818.941,1123382.745,4.729316669,-75.96545,25,6,0.24
6,E6,S35-1,1014813.425,1123392,4.729266663,-75.96536667,18,8,0.44444
7,E7,S42-1,1014807.913,1123403.105,4.729216667,-75.96526667,19,12,0.63158
8,E8,S49-1,1014800.557,1123414.213,4.729149998,-75.96516667,20,0,0
9,E9,S56-1,1014795.042,1123423.47,4.729100001,-75.96508333,21,4,0.19048
10,E10,S63-1,1014787.683,1123432.728,4.729033331,-75.965,22,1,0.04545
11,E11,S70-1,1014782.171,1123443.834,4.728983334,-75.9649,22,1,0.04545
12,E12,S77-1,1014776.656,1123453.089,4.728933337,-75.96481667,15,3,0.2
13,E1,S1-2,1014832.467,1123342.363,4.729439547,-75.96581372,16,6,0.375
14,E2,S7-1,1014830.635,1123349.764,4.729422876,-75.96574705,13,3,0.23077
15,E3,S14-2,1014823.28,1123360.872,4.729356216,-75.96564705,18,3,0.16667
16,E4,S21-2,1014815.918,1123368.282,4.729289547,-75.96558038,19,1,0.05263
17,E5,S28-2,1014810.403,1123377.538,4.72923955,-75.96549704,20,9,0.45
18,E6,S35-2,1014804.887,1123386.793,4.729189544,-75.96541372,23,6,0.26087
19,E7,S42-2,1014799.375,1123397.898,4.729139547,-75.96531372,15,0,0
20,E8,S49-2,1014792.019,1123409.006,4.729072878,-75.96521372,16,2,0.125
21,E9,S56-2,1014786.504,1123418.263,4.729022881,-75.96513038,13,6,0.46154
22,E10,S63-2,1014779.145,1123427.521,4.728956211,-75.96504705,16,10,0.625
23,E11,S70-2,1014773.633,1123438.627,4.728906215,-75.96494705,9,2,0.22222
24,E12,S77-2,1014768.118,1123447.882,4.728856218,-75.96486372,13,4,0.30769
25,E1,S1-3,1014823.93,1123337.157,4.729362436,-75.96586076,16,1,0.0625
26,E2,S7-2,1014822.098,1123344.558,4.729345766,-75.96579409,15,1,0.06667
27,E3,S14-3,1014814.743,1123355.666,4.729279106,-75.96569409,10,2,0.2
28,E4,S21-3,1014807.381,1123363.076,4.729212436,-75.96562742,14,3,0.21429
29,E5,S28-3,1014801.866,1123372.332,4.729162439,-75.96554408,20,10,0.5
30,E6,S35-3,1014796.35,1123381.587,4.729112433,-75.96546076,15,9,0.6
31,E7,S42-3,1014790.838,1123392.692,4.729062436,-75.96536076,13,1,0.07692
32,E8,S49-3,1014783.482,1123403.8,4.728995767,-75.96526076,16,3,0.1875
33,E9,S56-3,1014777.967,1123413.057,4.72894577,-75.96517742,16,10,0.625
34,E10,S63-3,1014770.608,1123422.315,4.728879101,-75.96509409,8,5,0.625
35,E11,S70-3,1014765.096,1123433.421,4.728829104,-75.96499408,16,2,0.125
36,E12,S77-3,1014759.581,1123442.676,4.728779107,-75.96491076,14,5,0.35714
37,E1,S1-4,1014815.392,1123331.95,4.729285317,-75.96590781,12,0,0
38,E2,S7-3,1014813.56,1123339.351,4.729268646,-75.96584114,14,5,0.35714
39,E3,S14-4,1014806.205,1123350.459,4.729201986,-75.96574114,12,6,0.5
40,E4,S21-4,1014798.843,1123357.869,4.729135316,-75.96567447,23,2,0.08696
41,E5,S28-4,1014793.328,1123367.125,4.729085319,-75.96559113,15,10,0.66667
42,E6,S35-4,1014787.812,1123376.38,4.729035313,-75.96550781,10,2,0.2
43,E7,S42-4,1014782.3,1123387.485,4.728985316,-75.96540781,18,5,0.27778
44,E8,S49-4,1014774.944,1123398.593,4.728918647,-75.96530781,15,4,0.26667
45,E9,S56-4,1014769.429,1123407.85,4.72886865,-75.96522447,10,8,0.8
46,E10,S63-4,1014762.07,1123417.108,4.728801981,-75.96514114,11,3,0.27273
47,E11,S70-4,1014756.558,1123428.214,4.728751984,-75.96504113,16,2,0.125
48,E12,S77-4,1014751.043,1123437.469,4.728701987,-75.96495781,18,8,0.44444
49,E1,S1-5,1014806.854,1123326.744,4.729208197,-75.96595485,20,4,0.2
50,E2,S7-4,1014805.022,1123334.145,4.729191526,-75.96588818,14,1,0.07143
51,E3,S14-5,1014797.667,1123345.253,4.729124866,-75.96578818,14,1,0.07143
52,E4,S21-5,1014790.305,1123352.663,4.729058196,-75.96572151,12,1,0.08333
53,E5,S28-5,1014784.79,1123361.919,4.729008199,-75.96563817,14,5,0.35714
54,E6,S35-5,1014779.274,1123371.174,4.728958193,-75.96555485,10,5,0.5
55,E7,S42-5,1014773.762,1123382.279,4.728908197,-75.96545485,14,3,0.21429
56,E8,S49-5,1014766.406,1123393.387,4.728841528,-75.96535485,20,0,0
57,E9,S56-5,1014760.891,1123402.644,4.72879153,-75.96527151,15,5,0.33333
58,E10,S63-5,1014753.532,1123411.902,4.728724861,-75.96518818,13,5,0.38462
59,E11,S70-5,1014748.02,1123423.008,4.728674864,-75.96508817,15,1,0.06667
60,E12,S77-5,1014742.505,1123432.263,4.728624867,-75.96500485,10,2,0.2
61,E1,S1-6,1014798.317,1123321.537,4.729131086,-75.9660019,14,3,0.21429
62,E2,S7-5,1014796.485,1123328.938,4.729114415,-75.96593523,12,2,0.16667
63,E3,S14-6,1014789.13,1123340.046,4.729047755,-75.96583523,5,0,0
64,E4,S21-6,1014781.768,1123347.456,4.728981085,-75.96576855,10,1,0.1
65,E5,S28-6,1014776.253,1123356.712,4.728931088,-75.96568522,14,11,0.78571
66,E6,S35-6,1014770.737,1123365.967,4.728881082,-75.96560189,13,8,0.61538
67,E7,S42-6,1014765.225,1123377.072,4.728831086,-75.9655019,14,1,0.07143
68,E8,S49-6,1014757.869,1123388.18,4.728764417,-75.9654019,21,3,0.14286
69,E9,S56-6,1014752.354,1123397.437,4.72871442,-75.96531855,13,9,0.69231
70,E10,S63-6,1014744.995,1123406.695,4.72864775,-75.96523523,10,5,0.5
71,E11,S70-6,1014739.483,1123417.801,4.728597754,-75.96513522,15,2,0.13333
72,E12,S77-6,1014733.968,1123427.056,4.728547757,-75.96505189,13,6,0.46154
73,E1,S1-7,1014789.779,1123316.331,4.729053966,-75.96604894,11,1,0.09091
74,E2,S7-6,1014787.947,1123323.732,4.729037295,-75.96598226,14,2,0.14286
75,E3,S14-7,1014780.592,1123334.84,4.728970635,-75.96588227,10,2,0.2
76,E4,S21-7,1014773.23,1123342.25,4.728903966,-75.96581559,17,0,0
77,E5,S28-7,1014767.715,1123351.506,4.728853969,-75.96573226,10,2,0.2
78,E6,S35-7,1014762.199,1123360.761,4.728803963,-75.96564893,13,2,0.15385
79,E7,S42-7,1014756.687,1123371.866,4.728753966,-75.96554894,15,6,0.4
80,E8,S49-7,1014749.331,1123382.974,4.728687297,-75.96544894,18,1,0.05556
81,E9,S56-7,1014743.816,1123392.231,4.7286373,-75.96536559,19,6,0.31579
82,E10,S63-7,1014736.457,1123401.489,4.728570631,-75.96528227,7,3,0.42857
83,E11,S70-7,1014730.945,1123412.595,4.728520634,-75.96518226,18,3,0.16667
84,E12,S77-7,1014725.43,1123421.85,4.728470637,-75.96509893,15,7,0.46667
85,E1,S1-8,1014781.241,1123311.124,4.728976846,-75.96609598,17,4,0.23529
86,E2,S7-7,1014779.409,1123318.525,4.728960175,-75.96602931,19,3,0.15789
87,E3,S14-8,1014772.054,1123329.633,4.728893515,-75.96592931,16,2,0.125
88,E4,S21-8,1014764.692,1123337.043,4.728826846,-75.96586264,14,2,0.14286
89,E5,S28-8,1014759.177,1123346.299,4.728776849,-75.96577931,10,4,0.4
90,E6,S35-8,1014753.661,1123355.554,4.728726843,-75.96569598,13,9,0.69231
91,E7,S42-8,1014748.149,1123366.659,4.728676846,-75.96559598,24,4,0.16667
92,E8,S49-8,1014740.793,1123377.767,4.728610177,-75.96549598,17,3,0.17647
93,E9,S56-8,1014735.278,1123387.024,4.72856018,-75.96541264,20,2,0.1
94,E10,S63-8,1014727.919,1123396.282,4.728493511,-75.96532931,11,4,0.36364
95,E11,S70-8,1014722.407,1123407.388,4.728443514,-75.96522931,8,1,0.125
96,E12,S77-8,1014716.892,1123416.643,4.728393517,-75.96514598,19,2,0.10526
97,E1,S1-9,1014772.704,1123305.918,4.728899735,-75.96614302,16,2,0.125
98,E2,S7-8,1014770.872,1123313.319,4.728883064,-75.96607635,11,1,0.09091
99,E3,S14-9,1014763.517,1123324.427,4.728816405,-75.96597635,16,2,0.125
100,E4,S21-9,1014756.155,1123331.837,4.728749735,-75.96590968,14,2,0.14286
101,E5,S28-9,1014750.64,1123341.093,4.728699738,-75.96582635,14,5,0.35714
102,E6,S35-9,1014745.124,1123350.348,4.728649732,-75.96574302,11,9,0.81818
103,E7,S42-9,1014739.612,1123361.453,4.728599735,-75.96564302,19,1,0.05263
104,E8,S49-9,1014732.256,1123372.561,4.728533066,-75.96554302,10,0,0
105,E9,S56-9,1014726.741,1123381.818,4.728483069,-75.96545968,14,1,0.07143
106,E10,S63-9,1014719.382,1123391.076,4.7284164,-75.96537635,21,2,0.09524
107,E11,S70-9,1014713.87,1123402.182,4.728366403,-75.96527635,15,2,0.13333
108,E12,S77-9,1014708.355,1123411.437,4.728316406,-75.96519302,13,4,0.30769
109,E1,S1-10,1014764.166,1123300.711,4.728822615,-75.96619007,18,7,0.38889
110,E2,S7-9,1014762.334,1123308.112,4.728805945,-75.9661234,12,1,0.08333
111,E3,S14-10,1014754.979,1123319.22,4.728739285,-75.9660234,12,0,0
112,E4,S21-10,1014747.617,1123326.63,4.728672615,-75.96595673,12,1,0.08333
113,E5,S28-10,1014742.102,1123335.886,4.728622618,-75.96587339,17,11,0.64706
114,E6,S35-10,1014736.586,1123345.141,4.728572612,-75.96579007,8,4,0.5
115,E7,S42-10,1014731.074,1123356.246,4.728522615,-75.96569007,17,1,0.05882
116,E8,S49-10,1014723.718,1123367.354,4.728455946,-75.96559007,17,7,0.41176
117,E9,S56-10,1014718.203,1123376.611,4.728405949,-75.96550673,14,4,0.28571
118,E10,S63-10,1014710.844,1123385.869,4.72833928,-75.9654234,13,4,0.30769
119,E11,S70-10,1014705.332,1123396.975,4.728289283,-75.9653234,14,4,0.28571
120,E12,S77-10,1014699.817,1123406.23,4.728239286,-75.96524007,9,2,0.22222
121,E1,S1-11,1014755.628,1123295.505,4.728745495,-75.96623711,11,1,0.09091
122,E2,S7-10,1014753.796,1123302.906,4.728728825,-75.96617044,15,3,0.2
123,E3,S14-11,1014746.441,1123314.014,4.728662165,-75.96607044,20,4,0.2
124,E4,S21-11,1014739.079,1123321.424,4.728595495,-75.96600377,15,3,0.2
125,E5,S28-11,1014733.564,1123330.68,4.728545498,-75.96592043,12,5,0.41667
126,E6,S35-11,1014728.048,1123339.935,4.728495492,-75.96583711,15,11,0.73333
127,E7,S42-11,1014722.536,1123351.04,4.728445496,-75.96573711,17,1,0.05882
128,E8,S49-11,1014715.18,1123362.148,4.728378827,-75.96563711,13,3,0.23077
129,E9,S56-11,1014709.665,1123371.405,4.72832883,-75.96555377,9,5,0.55556
130,E10,S63-11,1014702.306,1123380.663,4.72826216,-75.96547044,12,5,0.41667
131,E11,S70-11,1014696.794,1123391.769,4.728212164,-75.96537043,14,2,0.14286
132,E12,S77-11,1014691.279,1123401.024,4.728162167,-75.96528711,18,4,0.22222
133,E1,S1-12,1014747.091,1123290.298,4.728668385,-75.96628416,15,4,0.26667
134,E2,S7-11,1014745.259,1123297.699,4.728651714,-75.96621749,13,3,0.23077
135,E3,S14-12,1014737.904,1123308.807,4.728585054,-75.96611749,17,1,0.05882
136,E4,S21-12,1014730.542,1123316.217,4.728518384,-75.96605082,11,3,0.27273
137,E5,S28-12,1014725.027,1123325.473,4.728468387,-75.96596748,14,7,0.5
138,E6,S35-12,1014719.511,1123334.728,4.728418381,-75.96588416,14,11,0.78571
139,E7,S42-12,1014713.999,1123345.833,4.728368385,-75.96578416,11,3,0.27273
140,E8,S49-12,1014706.643,1123356.941,4.728301716,-75.96568416,19,3,0.15789
141,E9,S56-12,1014701.128,1123366.198,4.728251719,-75.96560082,18,10,0.55556
142,E10,S63-12,1014693.769,1123375.456,4.728185049,-75.96551749,7,3,0.42857
143,E11,S70-12,1014688.257,1123386.562,4.728135053,-75.96541748,13,0,0
144,E12,S77-12,1014682.742,1123395.817,4.728085056,-75.96533416,15,3,0.2
