id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
1,E1,S1,853039.5555,1081317.083,3.267016674,-76.346050,14,0,0.00000
2,E2,S6,853032.1788,1081311.531,3.266950008,-76.346100,13,1,0.07692
3,E3,S12,853021.1201,1081311.54,3.266850008,-76.346100,28,10,0.35714
4,E4,S18,853013.7433,1081305.988,3.26678334,-76.346150,26,2,0.07692
5,E5,S24,853002.6832,1081304.144,3.266683341,-76.346167,18,0,0.00000
6,E6,S30,852995.3094,1081302.298,3.266616675,-76.346183,15,0,0.00000
7,E7,S36,852984.2493,1081300.454,3.266516675,-76.346200,25,6,0.24000
8,E8,S42,852975.0308,1081296.756,3.266433341,-76.346233,15,0,0.00000
9,E9,S48,852965.8124,1081293.058,3.266350008,-76.346267,20,2,0.10000
10,E10,S54,852956.5954,1081291.213,3.266266674,-76.346283,30,0,0.00000
11,E11,S60,852947.3784,1081289.367,3.266183341,-76.346300,18,0,0.00000
12,E12,S66,852936.3168,1081285.671,3.26608334,-76.346333,18,0,0.00000
13,E1,S1,853042.4664,1081307.516,3.267043063,-76.346136,13,0,0.00000
14,E2,S6,853035.0897,1081301.964,3.266976397,-76.346186,11,2,0.18182
15,E3,S12,853024.031,1081301.973,3.266876397,-76.346186,12,3,0.25000
16,E4,S18,853016.6542,1081296.421,3.26680973,-76.346236,16,1,0.06250
17,E5,S24,853005.5941,1081294.577,3.26670973,-76.346253,19,1,0.05263
18,E6,S30,852998.2203,1081292.731,3.266643064,-76.346269,21,0,0.00000
19,E7,S36,852987.1602,1081290.887,3.266543064,-76.346286,14,1,0.07143
20,E8,S42,852977.9417,1081287.189,3.26645973,-76.346319,13,3,0.23077
21,E9,S48,852968.7233,1081283.491,3.266376397,-76.346353,13,1,0.07692
22,E10,S54,852959.5063,1081281.646,3.266293064,-76.346369,11,0,0.00000
23,E11,S60,852950.2893,1081279.8,3.26620973,-76.346386,10,0,0.00000
24,E12,S66,852939.2277,1081276.104,3.26610973,-76.346419,12,0,0.00000
25,E1,S1,853045.3773,1081297.949,3.267069453,-76.346222,12,0,0.00000
26,E2,S6,853038.0006,1081292.397,3.267002787,-76.346272,16,2,0.12500
27,E3,S12,853026.9419,1081292.406,3.266902786,-76.346272,15,4,0.26667
28,E4,S18,853019.5651,1081286.854,3.266836119,-76.346322,16,3,0.18750
29,E5,S24,853008.505,1081285.01,3.266736119,-76.346339,11,0,0.00000
30,E6,S30,853001.1312,1081283.164,3.266669453,-76.346355,19,0,0.00000
31,E7,S36,852990.0711,1081281.32,3.266569453,-76.346372,11,2,0.18182
32,E8,S42,852980.8526,1081277.622,3.266486119,-76.346405,23,0,0.00000
